City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Bilibino,RU,68.0546,166.4372,-16.33,100,100,1.81,overcast clouds
167,Ponta Delgada,PT,37.7333,-25.6667,65.12,77,75,11.5,broken clouds
168,Jumla,NP,29.2747,82.1838,46.29,46,2,4.61,clear sky
169,Hirara,JP,24.8,125.2833,76.53,74,82,12.64,broken clouds
170,Luderitz,NA,-26.6481,15.1594,59.45,75,73,18.66,broken clouds
171,Hami,CN,42.8,93.45,36.5,44,0,10.6,clear sky
172,Port-Cartier,CA,50.0334,-66.8654,12.74,93,78,4.88,broken clouds
173,Leningradskiy,RU,69.3833,178.4167,-12.86,97,100,5.64,overcast clouds
174,Hambantota,LK,6.1241,81.1185,73.74,100,20,3.44,few clouds
175,Hasaki,JP,35.7333,140.8333,58.21,60,100,12.82,overcast clouds
176,Bousse,BF,12.6606,-1.8922,75.0,30,88,8.3,overcast clouds
177,Nabire,ID,-3.3667,135.4833,77.27,88,100,3.22,overcast clouds
178,Hofn,IS,64.2539,-15.2082,46.18,94,100,21.07,overcast clouds
179,Launceston,AU,-41.45,147.1667,66.61,48,76,23.02,broken clouds
180,Russell,US,32.3502,-85.1999,48.18,58,100,6.24,overcast clouds
181,Maceio,BR,-9.6658,-35.7353,74.64,94,0,5.75,clear sky
182,Loanda,AO,-8.8368,13.2343,74.59,84,100,5.59,light rain
183,Arvika,SE,59.6553,12.5852,30.81,81,100,7.25,overcast clouds
184,Kupang,ID,-10.1667,123.5833,82.98,89,75,4.61,broken clouds
185,Juneau,US,58.3019,-134.4197,37.09,100,100,4.85,overcast clouds
186,Gavalou,GR,38.5333,21.5333,66.52,80,98,3.94,overcast clouds
187,Fernandez,AR,-27.9204,-63.8935,79.5,55,92,11.41,light rain
188,Bayanday,RU,53.0661,105.5139,4.84,87,22,4.21,few clouds
189,Moron,AR,-34.6534,-58.6198,81.79,57,100,5.32,overcast clouds
190,Banda Aceh,ID,5.5577,95.3222,82.22,73,82,9.04,broken clouds
191,Cidreira,BR,-30.1811,-50.2056,70.0,76,2,26.06,clear sky
192,Rudnogorsk,RU,57.2639,103.7519,-2.51,96,36,2.68,scattered clouds
193,Berlevag,NO,70.8578,29.0864,35.6,80,100,11.5,overcast clouds
194,Riyadh,SA,24.6877,46.7219,61.79,53,5,8.7,clear sky
195,Tamisan,PH,6.8437,126.2984,81.82,77,100,5.17,overcast clouds
196,Bambous Virieux,MU,-20.3428,57.7575,70.21,72,13,4.81,few clouds
197,Nedjo,ET,9.5046,35.5019,57.06,77,7,3.15,clear sky
198,Nemuro,JP,43.3236,145.575,44.35,66,20,11.88,few clouds
199,Xining,CN,36.6167,101.7667,37.65,33,100,3.18,overcast clouds
200,Chegdomyn,RU,51.1167,133.0167,29.91,85,99,5.26,overcast clouds
201,Katsuura,JP,35.1333,140.3,60.73,69,100,14.58,light rain
202,Dunedin,NZ,-45.8742,170.5036,57.79,92,100,4.0,overcast clouds
203,Sayat,TM,38.7839,63.8803,53.56,69,65,4.74,broken clouds
204,Ust-Kuyga,RU,70.0167,135.6,-35.68,99,96,3.38,overcast clouds
205,Lorengau,PG,-2.0226,147.2712,85.48,64,82,7.9,broken clouds
206,Camacha,PT,33.0833,-16.3333,62.02,59,40,8.05,scattered clouds
207,Pirai Do Sul,BR,-24.5261,-49.9486,55.42,95,22,6.49,few clouds
208,Lander,US,42.833,-108.7307,22.01,68,0,5.75,clear sky
209,Ryotsu,JP,38.0833,138.4333,57.31,61,79,9.26,light rain
210,Kaithal,IN,29.8,76.3833,58.41,42,4,5.66,clear sky
211,Namibe,AO,-15.1961,12.1522,70.36,75,91,2.93,light rain
212,Bull Savanna,JM,17.8868,-77.5902,75.31,84,53,8.48,broken clouds
