City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Tabou,CI,72.7,light rain,4.423,-7.3528,hotêl doufoulougou
153,Maldonado,UY,73.22,broken clouds,-34.6667,-54.9167,La Cimarrona
157,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
158,Road Town,VG,80.64,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
163,Namatanai,PG,84.63,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
164,Wanning,CN,79.07,overcast clouds,18.8003,110.3967,Paradise Hotel
169,Hirara,JP,76.53,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
174,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
176,Bousse,BF,75.0,overcast clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
177,Nabire,ID,77.27,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
181,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
182,Loanda,AO,74.59,light rain,-8.8368,13.2343,EPIC SANA Luanda
184,Kupang,ID,82.98,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
187,Fernandez,AR,79.5,light rain,-27.9204,-63.8935,Cordoba Hunting
189,Moron,AR,81.79,overcast clouds,-34.6534,-58.6198,Hotel Morón
190,Banda Aceh,ID,82.22,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
191,Cidreira,BR,70.0,clear sky,-30.1811,-50.2056,Hotel Castelo
195,Tamisan,PH,81.82,overcast clouds,6.8437,126.2984,PIERONE MATI DVO. OR.
196,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
205,Lorengau,PG,85.48,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
211,Namibe,AO,70.36,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
212,Bull Savanna,JM,75.31,broken clouds,17.8868,-77.5902,Big Red's
215,Anloga,GH,80.89,few clouds,5.7947,0.8973,Pin Drop Hotel
216,Mitu,CO,71.71,overcast clouds,1.1983,-70.1733,
