City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Hobart,AU,2022-11-17 00:14:37,-42.8794,147.3294,57.25,71,75,10.36
139,Sibu,MY,2022-11-17 00:14:37,2.3,111.8167,78.64,87,93,1.7
140,Severodvinsk,RU,2022-11-17 00:14:37,64.5635,39.8302,24.91,92,34,7.2
141,Gaffney,US,2022-11-17 00:14:38,35.0718,-81.6498,46.81,45,100,5.55
142,Luganville,VU,2022-11-17 00:14:38,-15.5333,167.1667,86.36,64,1,3.8
143,Komsomolskiy,UZ,2022-11-17 00:14:39,40.4272,71.7189,38.12,81,11,2.3
144,Tiksi,RU,2022-11-17 00:14:39,71.6872,128.8694,-21.3,99,92,4.16
145,Hithadhoo,MV,2022-11-17 00:14:40,-0.6,73.0833,80.71,76,79,10.56
146,Nador,MA,2022-11-17 00:10:50,35.174,-2.9287,70.05,78,40,8.05
147,Harper,LR,2022-11-17 00:14:40,4.375,-7.7169,77.54,86,31,6.73
148,Constitucion,CL,2022-11-17 00:14:41,-35.3333,-72.4167,58.32,82,43,13.4
149,Bethel,US,2022-11-17 00:10:32,41.3712,-73.414,44.47,72,40,9.22
150,Agadez,NE,2022-11-17 00:09:57,19.75,10.25,62.58,26,5,8.61
151,Victoria,HK,2022-11-17 00:10:22,22.2855,114.1577,77.38,84,97,10.0
152,Hambantota,LK,2022-11-17 00:14:42,6.1241,81.1185,76.82,82,82,4.63
153,North Bend,US,2022-11-17 00:11:50,43.4065,-124.2243,59.23,61,0,3.44
154,Barrow,US,2022-11-17 00:14:42,71.2906,-156.7887,28.42,74,0,19.57
155,Cooma,AU,2022-11-17 00:14:43,-36.2333,149.1333,52.34,46,12,8.66
156,Bereda,ES,2022-11-17 00:14:43,43.2686,-7.5406,56.41,93,88,9.26
157,Coquimbo,CL,2022-11-17 00:14:44,-29.9533,-71.3436,58.73,94,0,6.91
158,Touros,BR,2022-11-17 00:14:44,-5.1989,-35.4608,78.93,70,3,13.6
159,Avarua,CK,2022-11-17 00:14:45,-21.2078,-159.775,78.85,65,75,13.8
160,Shache,CN,2022-11-17 00:14:45,38.4167,77.2406,38.73,34,23,7.09
161,Mount Gambier,AU,2022-11-17 00:14:45,-37.8333,140.7667,56.97,59,66,5.21
162,Mayumba,GA,2022-11-17 00:14:46,-3.432,10.6554,76.53,85,98,7.9
163,Ilulissat,GL,2022-11-17 00:10:41,69.2167,-51.1,15.82,73,100,8.05
164,Kaka,TM,2022-11-17 00:14:46,37.3482,59.6143,49.95,53,98,8.43
165,Marawi,PH,2022-11-17 00:14:47,7.9986,124.2928,69.91,92,100,2.46
166,Norilsk,RU,2022-11-17 00:14:47,69.3535,88.2027,-28.28,99,70,3.91
167,Shingu,JP,2022-11-17 00:14:48,33.7333,135.9833,58.1,61,60,5.37
168,Tuktoyaktuk,CA,2022-11-17 00:14:48,69.4541,-133.0374,13.55,73,91,9.57
169,Ust-Ilimsk,RU,2022-11-17 00:14:49,58.0006,102.6619,28.42,89,100,10.51
170,Susanville,US,2022-11-17 00:14:49,40.4163,-120.653,43.81,47,0,3.44
171,Hobyo,SO,2022-11-17 00:14:49,5.3505,48.5268,81.32,72,48,14.14
172,Antofagasta,CL,2022-11-17 00:12:27,-23.65,-70.4,63.68,79,5,5.08
173,Saldanha,ZA,2022-11-17 00:14:50,-33.0117,17.9442,59.68,77,76,15.46
174,Birjand,IR,2022-11-17 00:14:51,32.8663,59.2211,49.37,36,5,6.58
175,Dwarka,IN,2022-11-17 00:14:51,22.2394,68.9678,78.53,62,0,8.41
176,Salalah,OM,2022-11-17 00:14:52,17.0151,54.0924,73.49,64,0,5.75
177,Zhaoyang,CN,2022-11-17 00:14:52,42.682,126.0305,32.81,69,45,4.54
178,Lastoursville,GA,2022-11-17 00:14:53,-0.8143,12.7287,70.84,99,100,2.17
179,Tirumullaivasal,IN,2022-11-17 00:14:53,11.2333,79.8333,73.8,75,38,9.1
180,Beloha,MG,2022-11-17 00:14:24,-25.1667,45.05,66.56,88,0,4.5
181,Ngorongoro,TZ,2022-11-17 00:15:54,-3.2397,35.4875,55.38,86,100,1.92
182,Svetlogorsk,BY,2022-11-17 00:15:54,52.6333,29.7333,28.44,77,99,10.89
